,0
667,5.063951
668,3.8014946
669,6.3450007
670,2.9529972
671,18.084784
672,3.2805305
673,12.766469
674,5.761418
675,3.210156
676,4.080423
677,2.5905607
678,31.753548
679,19.284908
680,5.1886086
681,4.265821
682,5.909154
683,52.61074
684,3.808535
685,18.459034
686,19.234114
687,16.400412
688,8.927248
689,3.86865
690,5.494826
691,1.9262598
692,3.5717926
693,2.440789
694,4.025389
695,2.4609733
696,2.47645
697,2.0524483
698,43.277454
699,2.8126326
700,10.838496
701,2.3415995
702,4.6391554
703,8.487897
704,3.2320337
705,5.112438
706,9.765995
707,5.9486628
708,5.8805723
709,12.634296
710,4.377011
711,6.753706
712,5.421233
713,10.032297
714,8.593494
715,5.9024878
716,5.013581
717,5.7115755
718,16.461481
719,1.9466605
720,2.4363484
721,3.7522407
722,10.730376
723,24.76072
724,4.7944465
725,8.209297
726,2.7019157
727,4.3022633
728,4.7484455
729,4.2044497
730,3.869236
731,15.378854
732,2.6578417
733,3.234437
734,3.7354355
735,2.9821
736,16.659695
737,2.7826762
738,2.810656
739,2.7761078
740,1.9385221
741,2.7828188
742,3.498302
743,25.75295
744,3.094306
745,3.4851818
746,4.4373817
747,2.4113564
748,3.5022273
749,3.0889206
750,16.425674
751,4.742224
752,4.2023983
753,5.809651
754,30.041817
755,6.570645
756,2.7272377
757,5.333231
758,77.0102
759,147.29556
760,7.8450994
761,2.2849517
762,2.3942244
763,12.395222
764,41.91169
765,2.7979727
766,4.392426
767,2.833405
768,21.491772
769,6.084546
770,1.8902738
771,2.9525084
772,2.5516534
773,2.850977
774,3.048975
775,7.984381
776,6.7280626
777,3.4176679
778,2.9313684
779,8.256935
780,4.036387
781,4.0944514
782,3.6550035
783,6.161072
784,15.759576
785,2.2302332
786,3.1066122
787,16.621172
788,1.9899683
789,14.097905
790,2.290605
791,5.030779
792,9.979658
793,4.366432
794,4.5893655
795,3.134225
796,7.5701127
797,11.725524
798,7.452755
799,8.265666
800,5.973224
801,4.230773
802,2.6222224
803,15.312758
804,5.342177
805,2.7041764
806,2.1287374
807,4.234191
808,4.191209
809,2.342183
810,8.852574
811,14.038093
812,4.8713245
813,9.890246
814,4.0369697
815,29.27549
816,13.932694
817,5.1415195
818,5.199999
819,8.305875
820,7.062289
821,3.0481486
822,12.988273
823,4.768944
824,23.627031
825,2.0299368
826,2.7116199
827,3.1830153
